mypaint-brushes1 1.3.1-2
mysql-workbench 8.0.40-7
nano 8.3-1
ncurses 6.5-3
neofetch 7.1.0-2
neovim 0.10.3-1
netstandard-targeting-pack 8.0.11.sdk111-1
nettle 3.10.1-1
network-manager-applet 1.36.0-1
networkmanager 1.50.1-1
networkmanager-openvpn 1.12.0-1
nitrogen 1.6.1-6
nm-connection-editor 1.36.0-1
node-gyp 11.0.0-1
nodejs 23.4.0-1
nodejs-nopt 7.2.1-1
noto-fonts 1:2025.01.01-1
npm 11.0.0-1
npth 1.8-1
nspr 4.36-1
nss 3.107-1
ntfs-3g 2022.10.3-1
numactl 2.0.19-1
nuspell 5.1.6-1
nvm 0.40.1-1
obs-studio 31.0.0-4
ocl-icd 2.3.2-2
oniguruma 6.9.10-1
openal 1.24.1-1
opencore-amr 0.1.6-2
openexr 3.3.2-1
openjpeg2 2.5.3-1
openssh 9.9p1-2
openssl 3.4.0-1
openvpn 2.6.12-3
opus 1.5.2-1
orc 0.4.40-1
os-prober 1.81-2
p11-kit 0.25.5-1
pacman 7.0.0.r6.gc685ae6-1
pacman-contrib 1.10.6-2
pacman-mirrorlist 20250101-1
pahole 1:1.28-3
pam 1.7.0-1
pambase 20230918-2
pamixer 1.6-3
pango 1:1.54.0-1
pangomm 2.46.4-1
pangomm-2.48 2.54.0-1
parted 3.6-2
patch 2.7.6-10
pavucontrol 1:6.1-1
pciutils 3.13.0-2
pcre 8.45-4
pcre2 10.44-1
pcsclite 2.3.1-1
perl 5.40.0-1
perl-error 0.17029-7
perl-mailtools 2.22-1
perl-timedate 2.33-7
php 8.3.15-1
picom-jonaburg-git 0.1-5
pinentry 1.3.1-5
pipewire 1:1.2.7-1
pixman 0.44.2-1
pkcs11-helper 1.30.0-1
pkgconf 2.3.0-1
pkgfile 22-1
plocate 1.1.23-1
point 0.2.72-1
polkit 125-1
polkit-qt6 0.200.0-1
poppler 25.01.0-1
poppler-data 0.4.12-2
poppler-glib 25.01.0-1
popt 1.19-2
portaudio 1:19.7.0-3
postgresql 16.6-1
postgresql-libs 16.6-1
postman-bin 11.23.3-1
procps-ng 4.0.5-1
proj 9.5.1-1
protobuf 29.2-1
psmisc 23.7-1
pulseaudio 17.0+r43+g3e2bb8a1e-1
pulseaudio-alsa 1:1.2.12-4
putty 0.82-1
python 3.13.1-1
python-argcomplete 3.4.0-2
python-attrs 23.2.0-4
python-beautifulsoup4 4.12.3-3
python-botocore 1.35.88-1
python-cairo 1.27.0-2
python-cairocffi 1.6.1-3
python-certifi 2024.12.14-1
python-cffi 1.17.1-2
python-charset-normalizer 3.4.1-1
python-click 8.1.7-4
python-colorama 0.4.6-5
python-cryptography 44.0.0-1
python-dateutil 2.9.0-6
python-dbus 1.3.2-5
python-distro 1.9.0-3
python-docopt 0.6.2-14
python-docutils 1:0.21.2-3
python-evdev 1.7.1-2
python-filelock 3.16.1-2
python-gobject 3.50.0-2
python-idna 3.10-2
python-inflect 7.5.0-1
python-jmespath 1.0.1-5
python-keyutils 0.6-11
python-lxml 5.3.0-2
python-moddb 0.12.0-1
python-more-itertools 10.5.0-1
python-packaging 24.2-3
python-pillow 11.0.0-3
python-pip 24.3.1-3
python-pipx 1.7.1-2
python-platformdirs 4.3.6-2
python-psutil 6.1.1-1
python-pyasn1 0.6.0-2
python-pycparser 2.22-3
python-pysimplegui 4.70.1-1
python-pytesseract 0.3.13-3
python-pywayland 0.4.18-2
python-pywlroots 0.17.0-3
python-requests 2.32.3-4
python-rsa 4.9-6
python-s3transfer 0.10.4-1
python-six 1.16.0-10
python-soupsieve 2.6-2
python-typeguard 4.4.1-1
python-typing_extensions 4.12.2-3
python-urllib3 2.3.0-1
python-userpath 1.9.2-3
python-wheel 0.45.0-3
python-xcffib 1.5.0-2
python-xkbcommon 1.5.1-2
python-yaml 6.0.2-2
qca-qt6 2.3.9-3
qhull 2020.2-5
qt5-base 5.15.16+kde+r130-3
qt5-declarative 5.15.16+kde+r22-3
qt5-graphicaleffects 5.15.16-3
